,Correlation
DistanceFromHome,0.07792358295570367
NumCompaniesWorked,0.04349373905781365
MonthlyRate,0.015170212530471466
PerformanceRating,0.0028887517110808684
HourlyRate,-0.006845549572139936
EmployeeNumber,-0.010577242759242777
PercentSalaryHike,-0.01347820205743911
Education,-0.03137281964004931
YearsSinceLastPromotion,-0.03301877514258431
RelationshipSatisfaction,-0.04587227888112669
DailyRate,-0.05665199186762936
TrainingTimesLastYear,-0.05947779855642055
WorkLifeBalance,-0.0639390472174089
EnvironmentSatisfaction,-0.10336897833793605
JobSatisfaction,-0.10348112606902123
JobInvolvement,-0.13001595678605374
YearsAtCompany,-0.13439221398997708
StockOptionLevel,-0.1371449189333256
YearsWithCurrManager,-0.15619931590162878
Age,-0.15920500686577962
MonthlyIncome,-0.15983958238498852
YearsInCurrentRole,-0.1605450042677008
JobLevel,-0.16910475093102761
TotalWorkingYears,-0.17106324613622612
EmployeeCount,
StandardHours,
