,Missing Count,Missing Percentage
Age,0,0.0
Attrition,0,0.0
BusinessTravel,0,0.0
DailyRate,0,0.0
Department,0,0.0
DistanceFromHome,0,0.0
Education,0,0.0
EducationField,0,0.0
EmployeeCount,0,0.0
EmployeeNumber,0,0.0
EnvironmentSatisfaction,0,0.0
Gender,0,0.0
HourlyRate,0,0.0
JobInvolvement,0,0.0
JobLevel,0,0.0
JobRole,0,0.0
JobSatisfaction,0,0.0
MaritalStatus,0,0.0
MonthlyIncome,0,0.0
MonthlyRate,0,0.0
NumCompaniesWorked,0,0.0
Over18,0,0.0
OverTime,0,0.0
PercentSalaryHike,0,0.0
PerformanceRating,0,0.0
RelationshipSatisfaction,0,0.0
StandardHours,0,0.0
StockOptionLevel,0,0.0
TotalWorkingYears,0,0.0
TrainingTimesLastYear,0,0.0
WorkLifeBalance,0,0.0
YearsAtCompany,0,0.0
YearsInCurrentRole,0,0.0
YearsSinceLastPromotion,0,0.0
YearsWithCurrManager,0,0.0
